Genus,Species
Agapostemon,Agapostemon femoratus
Agapostemon,Agapostemon melliventris
Agapostemon,Agapostemon obliquus
Agapostemon,Agapostemon splendens
Agapostemon,Agapostemon texanus
Agapostemon,Agapostemon virescens
Andrena,Andrena accepta
Andrena,Andrena algida
Andrena,Andrena amphibola
Andrena,Andrena astragali
Andrena,Andrena banffensis
Andrena,Andrena barbilabris
Andrena,Andrena birtwelli
Andrena,Andrena buckelli
Andrena,Andrena canadensis
Andrena,Andrena carlini
Andrena,Andrena chromotricha
Andrena,Andrena clarkella
Andrena,Andrena colletina
Andrena,Andrena columbiana
Andrena,Andrena costillensis
Andrena,Andrena crataegi
Andrena,Andrena cupreotincta
Andrena,Andrena cyanophila
Andrena,Andrena cyanura
Andrena,Andrena erythrogaster
Andrena,Andrena forbesii
Andrena,Andrena frigida
Andrena,Andrena geranii
Andrena,Andrena haynesi
Andrena,Andrena helianthi
Andrena,Andrena hippotes
Andrena,Andrena hirticincta
Andrena,Andrena illinoiensis
Andrena,Andrena imitatrix
Andrena,Andrena lawrencei
Andrena,Andrena lupinorum
Andrena,Andrena macoupinensis
Andrena,Andrena mariae
Andrena,Andrena medionitens
Andrena,Andrena milwaukeensis
Andrena,Andrena miranda
Andrena,Andrena miserabilis
Andrena,Andrena nigrae
Andrena,Andrena nigrihirta
Andrena,Andrena nivalis
Andrena,Andrena peckhami
Andrena,Andrena perarmata
Andrena,Andrena persimulata
Andrena,Andrena prunorum
Andrena,Andrena regularis
Andrena,Andrena rufosignata
Andrena,Andrena runcinatae
Andrena,Andrena salicifloris
Andrena,Andrena salictaria
Andrena,Andrena scurra
Andrena,Andrena scutellinitens
Andrena,Andrena sigmundi
Andrena,Andrena striatifrons
Andrena,Andrena surda
Andrena,Andrena thaspii
Andrena,Andrena topazana
Andrena,Andrena trevoris
Andrena,Andrena trizonata
Andrena,Andrena vicina
Andrena,Andrena vicinoides
Andrena,Andrena wellesleyana
Andrena,Andrena wheeleri
Andrena,Andrena w-scripta
Anthidium,Anthidium clypeodentatum
Anthidium,Anthidium emarginatum
Anthidium,Anthidium manicatum
Anthidium,Anthidium porterae
Anthidium,Anthidium tenuiflorae
Anthophora,Anthophora bomboides
Anthophora,Anthophora occidentalis
Anthophora,Anthophora peritomae
Anthophora,Anthophora porterae
Anthophora,Anthophora terminalis
Anthophora,Anthophora ursina
Apis,Apis mellifera
Bombus,Bombus appositus
Bombus,Bombus balteatus
Bombus,Bombus bifarius
Bombus (Psithyrus),Bombus (Psithyrus) bohemicus
Bombus,Bombus borealis
Bombus,Bombus centralis
Bombus,Bombus cryptarum
Bombus,Bombus fervidus
Bombus (Psithyrus),Bombus (Psithyrus) flavidus
Bombus,Bombus flavifrons
Bombus,Bombus frigidus
Bombus,Bombus griseocollis
Bombus,Bombus huntii
Bombus (Psithyrus),Bombus (Psithyrus) insularis
Bombus,Bombus melanopygus
Bombus,Bombus mixtus
Bombus,Bombus nevadensis
Bombus,Bombus occidentalis
Bombus,Bombus pensylvanicus
Bombus,Bombus perplexus
Bombus,Bombus polaris polaris
Bombus,Bombus rufocinctus
Bombus,Bombus sitkensis
Bombus (Psithyrus),Bombus (Psithyrus) suckleyi
Bombus,Bombus sylvicola
Bombus,Bombus ternarius
Bombus,Bombus terricola
Bombus,Bombus vagans
Calliopsis,Calliopsis chlorops
Calliopsis,Calliopsis coloradensis
Coelioxys,Coelioxys alternatus
Coelioxys,Coelioxys banksi
Coelioxys,Coelioxys edita
Coelioxys,Coelioxys funeraria
Coelioxys,Coelioxys grindeliae
Coelioxys,Coelioxys moesta
Coelioxys,Coelioxys octodentata
Coelioxys,Coelioxys porterae
Coelioxys,Coelioxys rufitarsis
Coelioxys,Coelioxys sodalis
Colletes,Colletes aberrans
Colletes,Colletes consors
Colletes,Colletes fulgidus
Colletes,Colletes hyalinus
Colletes,Colletes impunctatus
Colletes,Colletes kincaidii
Colletes,Colletes nigrifrons
Colletes,Colletes petalostemonis
Colletes,Colletes phaceliae
Colletes,Colletes rufocinctus
Colletes,Colletes simulans
Colletes,Colletes susannae
Diadasia,Diadasia sp
Diadasia,Diadasia australis
Diadasia,Diadasia diminuta
Dianthidium,Dianthidium curvatum
Dianthidium,Dianthidium pudicum
Dufourea,Dufourea dilatipes
Dufourea,Dufourea harveyi
Dufourea,Dufourea holocyanea
Dufourea,Dufourea marginata
Dufourea,Dufourea maura
Epeolus,Epeolus ainsliei
Epeolus,Epeolus americanus
Epeolus,Epeolus compactus
Epeolus,Epeolus lutzi
Epeolus,Epeolus minimus
Eucera,Eucera fulvitarsis
Eucera,Eucera speciosa
Halictus,Halictus confusus
